,Rating_Score
0,7.5
1,7.5
2,8.7
3,8.2
4,8.3
5,8.8
6,8.4
7,7.8
8,7.4
9,8.6
10,9.3
11,8.6
12,7.9
13,8.4
14,8.7
15,8.1
16,8.2
17,7.8
18,8.6
19,7.1
20,7.1
21,7.7
22,8.1
23,8.8
24,7.7
25,7.1
26,8.0
27,6.3
28,8.0
29,8.8
30,8.3
31,8.1
32,7.9
33,8.4
34,7.7
35,8.7
36,8.5
37,6.9
38,8.3
39,8.2
40,8.4
41,8.5
42,8.3
43,8.1
44,8.1
45,8.8
46,8.2
47,8.0
48,8.6
49,8.3
50,8.4
51,7.3
52,8.7
53,7.6
54,7.6
55,6.4
56,8.7
57,8.8
58,8.8
59,7.3
60,7.4
61,8.3
62,8.0
63,8.2
64,8.3
65,7.4
66,7.7
67,7.1
68,7.8
69,6.6
70,8.6
71,8.4
72,8.1
73,7.9
74,7.3
75,8.3
76,7.0
77,7.8
78,8.2
79,8.3
80,10
81,7.7
82,6.8
83,8.2
84,7.5
85,8.5
86,10
87,7.6
88,8.0
89,6.7
90,8.1
91,7.6
92,8.1
93,6.9
94,7.6
95,8.7
96,8.6
97,9.0
98,8.4
99,8.8
100,8.8
101,7.9
102,8.3
103,8.1
104,8.2
105,8.5
106,7.7
107,7.3
108,7.7
109,7.5
110,8.5
111,7.9
112,6.9
113,8.2
114,8.1
115,8.7
116,8.4
117,7.2
118,8.4
119,8.1
120,8.6
121,7.7
122,7.1
123,8.5
124,8.1
125,8.8
126,7.0
127,6.7
128,6.9
129,8.3
130,8.1
131,8.9
132,7.9
133,7.9
134,8.1
135,8.3
136,8.2
137,8.3
138,6.3
139,7.7
140,8.5
141,7.6
142,7.9
143,7.8
144,8.3
145,7.4
146,8.3
147,8.3
148,7.6
149,7.9
150,7.1
151,7.5
152,7.8
153,8.4
154,7.3
155,7.4
156,8.8
157,8.1
158,7.6
159,8.7
160,8.0
161,8.1
162,9
163,8.2
164,7.0
165,6.4
166,8.1
167,7.4
168,7.1
169,8.3
170,8.3
171,7.5
172,7.5
173,8.1
174,7.9
175,8.1
176,8.4
177,7.8
178,8.5
179,8.4
180,7.9
181,7.2
182,8.5
