,Title,Genre,Image_Link
0,Boyhood,Drama,https://www.metacritic.com/a/img/resize/5e2347af172196e6c7076494b7e8ce26fd832f72/catalog/provider/2/2/2-e25db87c9adea62102834d1cc06d3705.jpg?auto=webp&fit=cover&height=132&width=88
1,Dekalog (1988),Drama,https://www.metacritic.com/a/img/resize/2162216e0eddb77ee2faa85f1cd7c7ca5a0026b9/catalog/provider/2/2/2-33ff5c9171bee2da94bcbe5abcae60fd.jpg?auto=webp&fit=cover&height=132&width=88
2,Rear Window,Mystery,https://www.metacritic.com/a/img/resize/d684a092f00c5b2a0cbb30f45bbb4455c29c6165/catalog/provider/2/2/2-5e97d33d56f0568dd7ef759bcf9cf360.jpg?auto=webp&fit=cover&height=132&width=88
3,Tokyo Story,Drama,https://www.metacritic.com/a/img/resize/61d8a2a948f3d3f5264ea59a2eb2c1bc0b301558/catalog/provider/2/2/2-31606d19ab5e8154719da51c92de0b13.jpg?auto=webp&fit=cover&height=132&width=88
4,Three Colors: Red,Drama,https://www.metacritic.com/a/img/resize/9181df467182536fd5b68b064217a16a8720a97e/catalog/provider/2/2/2-bee46070b1964833c696e09ad13f72fe.jpg?auto=webp&fit=cover&height=132&width=88
5,Casablanca,Drama,https://www.metacritic.com/a/img/resize/78c048faee35bacbfc0cb239831a7c7e50fcab7a/catalog/provider/2/2/2-d377eed3f868f2f56e42767822188b73.jpg?auto=webp&fit=cover&height=132&width=88
6,Citizen Kane,Drama,https://www.metacritic.com/a/img/resize/b6f5368a0598a7692eb50d6ca219d64a49a46ee1/catalog/provider/2/2/2-16b148bab11c417f2b2ca06404a8c514.jpg?auto=webp&fit=cover&height=132&width=88
7,The Leopard (re-release),Drama,https://www.metacritic.com/a/img/resize/4236100026e3852c27d0402f3e15faf84c9277d3/catalog/provider/2/2/2-3ca5c775436114bc6d99f12ae3dace0a.jpg?auto=webp&fit=cover&height=132&width=88
8,The Conformist,Drama,https://www.metacritic.com/a/img/resize/1fd4889917b24ad7003586ee84ed5f7a151199fb/catalog/provider/2/2/2-dd018c5d82b77507bdac403f5f7c217b.jpg?auto=webp&fit=cover&height=132&width=88
9,Lawrence of Arabia (re-release),Adventure,https://www.metacritic.com/a/img/resize/ec76d64ca9f1f4d310412559f1a0c608d5970e95/catalog/provider/2/2/2-0d39c766b1fa2252bd609e914d0647af.jpg?auto=webp&fit=cover&height=132&width=88
10,The Godfather,Crime,https://www.metacritic.com/a/img/resize/77d5d0bdf680af8d397d7c648d3675323e0e1c06/catalog/provider/2/2/2-40b421c7cfe1b3059d5e50d79e968270.jpg?auto=webp&fit=cover&height=132&width=88
11,Vertigo,Mystery,https://www.metacritic.com/a/img/resize/6aaa27f6c00b2e1e4a8e3ef87000e41fafeff14b/catalog/provider/2/2/2-e384f9f78bf9fad12ab0c8a9955200b9.jpg?auto=webp&fit=cover&height=132&width=88
12,Notorious,Drama,https://www.metacritic.com/a/img/resize/bb5b4c782971c01347385c1305417103c7d4f0ef/catalog/provider/2/2/2-0488aa04afd924c82eaa2b421b54a8e3.jpg?auto=webp&fit=cover&height=132&width=88
13,Fanny and Alexander (re-release),Drama,https://www.metacritic.com/a/img/resize/7a92f52a0d894596594d0d71b85c3e779d8f9a68/catalog/provider/2/2/2-10f706cfc36609b1d0f0bbf120c90028.jpg?auto=webp&fit=cover&height=132&width=88
14,Singin' in the Rain,Comedy,https://www.metacritic.com/a/img/resize/d65d2d66c73304c93a2f43f1eb89dea63da7aa71/catalog/provider/2/2/2-fec6270799b9fadd4196b2d483682df8.jpg?auto=webp&fit=cover&height=132&width=88
15,Playtime,Comedy,https://www.metacritic.com/a/img/resize/1a68f9bb72512d9c807db7178bc92ea3622b6847/catalog/provider/2/2/2-55f1363b1592333712f7f73dfed76395.jpg?auto=webp&fit=cover&height=132&width=88
16,Touch of Evil,Crime,https://www.metacritic.com/a/img/resize/985418950c4aac1ca44bb4a143a9641e6b1cbc75/catalog/provider/5/2/5-tt0052311.jpg?auto=webp&fit=cover&height=132&width=88
17,Army of Shadows,Drama,https://www.metacritic.com/a/img/resize/2c2f56733e2058d378123a19a23ce484b3dda395/catalog/provider/2/2/2-63a7af0544d5c063733dd31147b32fe2.jpg?auto=webp&fit=cover&height=132&width=88
18,City Lights,Comedy,https://www.metacritic.com/a/img/resize/d29c0efb845c7c98716acdfc8cd4a3959bf26ff9/catalog/provider/2/2/2-5dbe8bb254d5e8fd18533c123c556ed3.jpg?auto=webp&fit=cover&height=132&width=88
19,Moonlight,Drama,https://www.metacritic.com/a/img/resize/e6e39a40db538d5f0100e1d09d4c4a0723839d6c/catalog/provider/2/2/2-d8c1e3566ba713bc1a11d8bb54378aa3.jpg?auto=webp&fit=cover&height=132&width=88
20,Intolerance,Drama,https://www.metacritic.com/a/img/resize/2d8463364a443f15a6c3176b6a76b238c112c428/catalog/provider/5/2/5-tt0006864.jpg?auto=webp&fit=cover&height=132&width=88
21,The Rules of the Game,Comedy,https://www.metacritic.com/a/img/resize/23bda157dad3312cb54dd83e344e4558024cc694/catalog/provider/2/2/2-21ec091d78c78cd5e2224153d7c620d0.jpg?auto=webp&fit=cover&height=132&width=88
22,Pinocchio,Animation,https://www.metacritic.com/a/img/resize/938499ce4ef2673e76de661e242cc163465cb7fa/catalog/provider/2/2/2-293ce5f1132b6801354519e880290d98.jpg?auto=webp&fit=cover&height=132&width=88
23,Seven Samurai,Action,https://www.metacritic.com/a/img/resize/b5ef93b65073c5786417b3b88d243e5ebeb3cbaa/catalog/provider/2/2/2-4b4ccbca6c3d3dbb6ff2f1a6c6cf703b.jpg?auto=webp&fit=cover&height=132&width=88
24,The Wild Bunch,Action,https://www.metacritic.com/a/img/resize/a2952503e9ccd648e782e9f39885575ba5e478f5/catalog/provider/2/2/2-d4ea24b1892db81fa2229630260b5670.jpg?auto=webp&fit=cover&height=132&width=88
25,Au hasard Balthazar,Drama,https://www.metacritic.com/a/img/resize/5adaf397673ac636778a78a4dae2f73ef15a7522/catalog/provider/2/2/2-b063d321df280c23b2973f7ee22b2752.jpg?auto=webp&fit=cover&height=132&width=88
26,The Lady Vanishes,Mystery,https://www.metacritic.com/a/img/resize/3edf6d94a3c6941ff2b4d4ed63823992024cf77d/catalog/provider/2/2/2-a3a2f081a57ea157ad8c5ca89fa218b8.jpg?auto=webp&fit=cover&height=132&width=88
27,Pépé le Moko (re-release),Crime,https://www.metacritic.com/a/img/resize/b203295a2ab34a36c09840c78cc8021c6a5a347c/catalog/provider/2/2/2-a6775043f772b6b629b542b5ffe5dc85.jpg?auto=webp&fit=cover&height=132&width=88
