,Year,Rating,Duration
0,2014,R,2 h 45 m
1,1996,TV-MA,9 h 32 m
2,1954,Approved,1 h 52 m
3,1972,Not Rated,2 h 16 m
4,1994,R,1 h 39 m
5,1943,PG,1 h 42 m
6,1941,Approved,1 h 59 m
7,2004,Approved,3 h 6 m
8,1970,R,1 h 53 m
9,2002,PG,3 h 38 m
10,1972,R,2 h 55 m
11,1958,Approved,2 h 8 m
12,1946,Approved,1 h 42 m
13,2004,R,3 h 8 m
14,1952,Approved,1 h 43 m
15,1973,Not Rated,2 h 35 m
16,1958,Approved,1 h 35 m
17,2006,Not Rated,2 h 25 m
18,1931,G,1 h 27 m
19,2016,R,1 h 51 m
20,1916,Passed,2 h 43 m
21,1950,Not Rated,1 h 50 m
22,1940,G,1 h 28 m
23,1956,Not Rated,3 h 27 m
24,1969,R,2 h 25 m
25,1966,Not Rated,1 h 35 m
26,1938,Not Rated,1 h 36 m
27,2002,Not Rated,1 h 34 m
28,1948,Approved,2 h 6 m
29,2006,R,1 h 58 m
30,1959,Approved,2 h 1 m
31,1959,Approved,2 h 16 m
32,1994,PG-13,2 h 50 m
33,1951,Not Rated,1 h 28 m
34,1929,Passed,1 h 50 m
35,1950,Approved,2 h 18 m
36,2002,Not Rated,2 h 33 m
37,1962,Not Rated,1 h 45 m
38,1989,R,1 h 43 m
39,1955,Approved,1 h 32 m
40,1985,R,2 h 40 m
41,1949,TV-PG,1 h 44 m
42,1964,Approved,1 h 35 m
43,2021,Approved,1 h 41 m
44,2000,Not Rated,1 h 58 m
45,1960,Approved,1 h 49 m
46,1940,Approved,3 h 58 m
47,2008,Not Rated,1 h 53 m
48,1926,TV-14,1 h 15 m
49,1951,Approved,2 h 2 m
50,1941,Approved,1 h 40 m
51,1973,PG,1 h 50 m
52,1957,Approved,1 h 36 m
53,1941,Approved,1 h 4 m
54,2018,R,2 h 15 m
55,1929,Not Rated,1 h 8 m
56,2019,R,2 h 12 m
57,2002,PG,2 h 5 m
58,1995,G,1 h 21 m
59,2021,PG-13,1 h 58 m
60,1940,Approved,1 h 39 m
61,1968,R,2 h 17 m
62,2013,R,2 h 14 m
63,2016,R,2 h 17 m
64,2004,Not Rated,2 h 1 m
65,2007,Oscilloscope,
66,1975,R,2 h 40 m
67,1948,Approved,2 h 13 m
68,1940,Approved,1 h 52 m
69,1955,Not Rated,2 h 4 m
70,2007,G,1 h 51 m
71,1940,Approved,2 h 9 m
72,1938,G,1 h 23 m
73,2012,Not Rated,3 h 9 m
74,1973,R,1 h 52 m
75,2000,G,1 h 27 m
76,1941,Approved,1 h 34 m
77,2013,PG-13,1 h 31 m
78,1940,Approved,2 h 4 m
79,1991,G,1 h 24 m
80,2020,TV-MA,1 h 10 m
81,1935,Approved,1 h 15 m
82,1973,R,1 h 50 m
83,2010,PG-13,2 h
84,1964,Approved,2 h 50 m
85,2019,R,2 h 2 m
86,2016,PG-13,1 h 33 m
87,1970,R,3 h 4 m
88,2022,R,1 h 42 m
89,2021,TV-MA,1 h 33 m
90,2012,PG-13,2 h 7 m
91,2009,R,2 h 11 m
92,1959,Approved,2 h 41 m
93,2012,R,2 h 37 m
94,2020,Not Rated,1 h 49 m
95,2011,PG-13,2 h 3 m
96,1944,Approved,1 h 47 m
