,Title,Rating,Year,Genre,Rating_Score,Duration,Image_Link
0,12 ANGRY MEN,D,1957, Drama,9.10, 1h 35m,https://resizing.flixster.com/S2bne7mEnck8k0hBDd1ivUbi4MA=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p2084_p_v8_ar.jpg
1,2001: A SPACE ODYSSEY,D,1968, Sci-fi,Fresh, 2h 19m,https://resizing.flixster.com/WhNiUGqEetO10CpZvhaoiyotptE=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p6252_p_v8_ai.jpg
2,THE 400 BLOWS,D,1959, Crime/Drama,9.40, 1h 33m,https://resizing.flixster.com/1u7ROzBKhwnIy9Fcyca05sLJjUM=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p13700_p_v12_ab.jpg
3,"THE ADVENTURES OF PRISCILLA, QUEEN OF THE DESERT",D,1994, Comedy/Lgbtq+,Fresh, 1h 42m,https://resizing.flixster.com/Ret-mCploljF98Z-6e6MEIaVv6s=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p17043_p_v8_ad.jpg
4,THE ADVENTURES OF ROBIN HOOD,D,1938, Adventure/Action,Fresh, 1h 42m,https://resizing.flixster.com/8BjYyxY6NBWGui4q69M0m5xY6pw=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p940_p_v8_af.jpg
5,AGUIRRE: THE WRATH OF GOD,D,1972, Adventure,Fresh, 1h 34m,https://resizing.flixster.com/pLw-_E_PIUNS8-utDF6BTSDck8s=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p4041_p_v8_aa.jpg
6,AIRPLANE!,D,1980, Comedy,8.40, 1h 28m,https://resizing.flixster.com/IX6POPS5h70hQF5oZaTy20BHgDs=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p1671_p_v11_aa.jpg
7,AKIRA,D,1988, Sci-fi/Anime,7.90, 2h 4m,https://resizing.flixster.com/AvrHFAO8x7Y0cJEncvsJ8E-45kg=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p16852_p_v8_ad.jpg
8,ALIEN,D,1979, Sci-fi/Horror,9.10, 1h 57m,https://resizing.flixster.com/4uZ_1paESM2WNszw2diZqqvAS-o=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p2571_p_v8_aw.jpg
9,ALIENS,D,1986, Sci-fi/Horror,9.10, 2h 17m,https://resizing.flixster.com/-5ikyG7jMXnwUBPoopxKyGt7Ydo=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9384_p_v8_bk.jpg
10,ALL ABOUT EVE,D,1950, Drama,9.40, 2h 18m,https://resizing.flixster.com/RyaCgGLZlvQZlNiHhqaJwxzSWTs=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p4804_p_v8_ae.jpg
11,ALL ABOUT MY MOTHER,D,1999, Drama/Comedy,Fresh, 1h 39m,https://resizing.flixster.com/IkZUwwY1cSJXZSuSFEm_gHVREZ8=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p22998_p_v8_am.jpg
12,ALL THE PRESIDENT'S MEN,D,1976, Drama,Fresh, 2h 18m,https://resizing.flixster.com/S2b4EdWIoDWLbveZKFAMSK44wo0=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p6059_p_v8_aa.jpg
13,ALMOST FAMOUS,D,2000, Comedy/Drama,7.90, 2h 2m,https://resizing.flixster.com/bZXpchSUII3KvUgdgHe6LWli0Qs=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/NowShowing/25082/25082_av.jpg
14,AMADEUS,D,1984, Biography/History,Fresh, 2h 38m,https://resizing.flixster.com/sk3XqLGReZTykQ81hCyDzOiJNLU=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/NowShowing/31949/31949_aa.jpg
15,AMÉLIE,D,2001, Romance/Comedy,8.10, 2h 1m,https://resizing.flixster.com/31ooZdda66X1KnqnHYkF7yrHbXs=/fit-in/180x240/v2/https://resizing.flixster.com/vTsVt5B6vJsQNUBOfQwX9K08rV8=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzFkZDQ3ZWQyLWM2ZGUtNDU2NS1iOTczLWIwY2IyMDZiOTNkYi5qcGc=
16,AMOUR,D,2012, Drama,Fresh, 2h 7m,https://resizing.flixster.com/gq7BdUsEGOkEe25aL1qNyS5eksc=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9286157_p_v8_ai.jpg
17,AN AMERICAN IN PARIS,D,1951, Musical/Romance,Fresh, 1h 53m,https://resizing.flixster.com/d4xKFRGxr7tFNQYTCf_KK-SemG4=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p4502_p_v8_aj.jpg
18,ANNIE HALL,D,1977, Romance/Comedy,Fresh, 1h 33m,https://resizing.flixster.com/eddYw0tWLrPuzq-nZIvRPSuFsKM=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7349_p_v8_au.jpg
19,THE APARTMENT,D,1960, Comedy/Drama,Fresh, 2h 5m,https://resizing.flixster.com/fw1rWgyQN3qljWp90rBqg6n5Q7E=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p4599_p_v8_ba.jpg
20,APOCALYPSE NOW,D,1979, War/Drama,Fresh, 2h 33m,https://resizing.flixster.com/JeBaXZGgx3ozRy8qMNYXsmZVuOs=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p5545_p_v8_at.jpg
