,Title,Image_Link,Refrence_Link
0,12 ANGRY MEN,https://resizing.flixster.com/S2bne7mEnck8k0hBDd1ivUbi4MA=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p2084_p_v8_ar.jpg,https://www.rottentomatoes.com/m/1000013_12_angry_men
1,2001: A SPACE ODYSSEY,https://resizing.flixster.com/WhNiUGqEetO10CpZvhaoiyotptE=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p6252_p_v8_ai.jpg,https://www.rottentomatoes.com/m/2001_a_space_odyssey
2,THE 400 BLOWS,https://resizing.flixster.com/1u7ROzBKhwnIy9Fcyca05sLJjUM=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p13700_p_v12_ab.jpg,https://www.rottentomatoes.com/m/400_blows
3,"THE ADVENTURES OF PRISCILLA, QUEEN OF THE DESERT",https://resizing.flixster.com/Ret-mCploljF98Z-6e6MEIaVv6s=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p17043_p_v8_ad.jpg,https://www.rottentomatoes.com/m/adventures_of_priscilla_queen_of_the_desert
4,THE ADVENTURES OF ROBIN HOOD,https://resizing.flixster.com/8BjYyxY6NBWGui4q69M0m5xY6pw=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p940_p_v8_af.jpg,https://www.rottentomatoes.com/m/1000355-adventures_of_robin_hood
5,AGUIRRE: THE WRATH OF GOD,https://resizing.flixster.com/pLw-_E_PIUNS8-utDF6BTSDck8s=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p4041_p_v8_aa.jpg,https://www.rottentomatoes.com/m/aguirre_the_wrath_of_god
6,AIRPLANE!,https://resizing.flixster.com/IX6POPS5h70hQF5oZaTy20BHgDs=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p1671_p_v11_aa.jpg,https://www.rottentomatoes.com/m/airplane
7,AKIRA,https://resizing.flixster.com/AvrHFAO8x7Y0cJEncvsJ8E-45kg=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p16852_p_v8_ad.jpg,https://www.rottentomatoes.com/m/akira
8,ALIEN,https://resizing.flixster.com/4uZ_1paESM2WNszw2diZqqvAS-o=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p2571_p_v8_aw.jpg,https://www.rottentomatoes.com/m/alien
9,ALIENS,https://resizing.flixster.com/-5ikyG7jMXnwUBPoopxKyGt7Ydo=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9384_p_v8_bk.jpg,https://www.rottentomatoes.com/m/1000617-aliens
10,ALL ABOUT EVE,https://resizing.flixster.com/RyaCgGLZlvQZlNiHhqaJwxzSWTs=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p4804_p_v8_ae.jpg,https://www.rottentomatoes.com/m/1000626-all_about_eve
11,ALL ABOUT MY MOTHER,https://resizing.flixster.com/IkZUwwY1cSJXZSuSFEm_gHVREZ8=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p22998_p_v8_am.jpg,https://www.rottentomatoes.com/m/all_about_my_mother
12,ALL THE PRESIDENT'S MEN,https://resizing.flixster.com/S2b4EdWIoDWLbveZKFAMSK44wo0=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p6059_p_v8_aa.jpg,https://www.rottentomatoes.com/m/all_the_presidents_men
13,ALMOST FAMOUS,https://resizing.flixster.com/bZXpchSUII3KvUgdgHe6LWli0Qs=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/NowShowing/25082/25082_av.jpg,https://www.rottentomatoes.com/m/almost_famous
14,AMADEUS,https://resizing.flixster.com/sk3XqLGReZTykQ81hCyDzOiJNLU=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/NowShowing/31949/31949_aa.jpg,https://www.rottentomatoes.com/m/amadeus
15,AMÉLIE,https://resizing.flixster.com/31ooZdda66X1KnqnHYkF7yrHbXs=/fit-in/180x240/v2/https://resizing.flixster.com/vTsVt5B6vJsQNUBOfQwX9K08rV8=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzFkZDQ3ZWQyLWM2ZGUtNDU2NS1iOTczLWIwY2IyMDZiOTNkYi5qcGc=,https://www.rottentomatoes.com/m/amelie
16,AMOUR,https://resizing.flixster.com/gq7BdUsEGOkEe25aL1qNyS5eksc=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9286157_p_v8_ai.jpg,https://www.rottentomatoes.com/m/amour_2013
17,AN AMERICAN IN PARIS,https://resizing.flixster.com/d4xKFRGxr7tFNQYTCf_KK-SemG4=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p4502_p_v8_aj.jpg,https://www.rottentomatoes.com/m/american_in_paris
18,ANNIE HALL,https://resizing.flixster.com/eddYw0tWLrPuzq-nZIvRPSuFsKM=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7349_p_v8_au.jpg,https://www.rottentomatoes.com/m/annie_hall
19,THE APARTMENT,https://resizing.flixster.com/fw1rWgyQN3qljWp90rBqg6n5Q7E=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p4599_p_v8_ba.jpg,https://www.rottentomatoes.com/m/1001115-apartment
20,APOCALYPSE NOW,https://resizing.flixster.com/JeBaXZGgx3ozRy8qMNYXsmZVuOs=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p5545_p_v8_at.jpg,https://www.rottentomatoes.com/m/apocalypse_now
21,AVENGERS: ENDGAME,https://resizing.flixster.com/PUYKuy0g9kGg9q4iPoUQY6dY_a4=/fit-in/180x240/v2/https://resizing.flixster.com/fC7nU6iTRQk02tS0SDS1ylx-G34=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2QxZjE5ZDgzLTRiY2MtNDFkYS04NWQ4LTRkYzc1ZTAwNWE2NC53ZWJw,https://www.rottentomatoes.com/m/avengers_endgame
22,BACK TO THE FUTURE,https://resizing.flixster.com/sj20unXgnbE4Yy8gLku8yQh_ZiU=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8717_p_v8_ac.jpg,https://www.rottentomatoes.com/m/back_to_the_future
23,BADLANDS,https://resizing.flixster.com/HN2esXstVIaTkM6IW0UX246AfR4=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/NowShowing/9976/9976_aa.jpg,https://www.rottentomatoes.com/m/badlands
24,BEAUTY AND THE BEAST,https://resizing.flixster.com/sL3NlGMR1M8sOb1j3OMpzY4bi-0=/fit-in/180x240/v2/https://resizing.flixster.com/hxGLPPMf0SVNNNnWRsA4zTyk_As=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2Q1OWQzMzQ0LWY0YTgtNGI1ZS05NjRlLTk5NWMwMjVhYjQ0Yy53ZWJw,https://www.rottentomatoes.com/m/beauty_and_the_beast_1991
25,BEING JOHN MALKOVICH,https://resizing.flixster.com/miOsrhX2enQVGCmzxaFkSM2gCd8=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p23903_p_v8_ah.jpg,https://www.rottentomatoes.com/m/being_john_malkovich
26,BEING THERE,https://resizing.flixster.com/trhHTOj8_yQuAlGBRzygX0NEs4g=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7227_p_v8_aa.jpg,https://www.rottentomatoes.com/m/being_there
27,THE BEST YEARS OF OUR LIVES,https://resizing.flixster.com/syb0jFTD5OkAU9nd5H3KvzbB8MU=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p1312_p_v8_aa.jpg,https://www.rottentomatoes.com/m/best_years_of_our_lives
