,Title,Rating,Year,Genre,Rating_Score,Duration,Image_Link
0,THE BEEKEEPER,R,2024, Action/Mystery & thriller,['5.80'], 1h 45m,https://resizing.flixster.com/nwY_yVsKRdvlDMJVmyGkPOTC2ZI=/206x305/v2/https://resizing.flixster.com/G2ypcmeD3YeumP2nvKiEmO5XQok=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2Y5MmJmNTk0LTFjNGEtNDVhNC1iNjI3LTFmNTVhYjg1ODc5Yy5qcGc=
1,ANATOMY OF A FALL,R,2023, Mystery & thriller/Crime,['8.60'], 2h 30m,https://resizing.flixster.com/t5BD6TpneSZ3SCKK-bugepM9iX8=/206x305/v2/https://resizing.flixster.com/DiduaaJKONgMBcwEdDgLlFGE7Vo=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2JmMGYzZGMxLWVjNmItNGI1ZS05ODAxLTkwY2U4ZGQyMzI5Ni5qcGc=
2,THE HOLDOVERS,R,2023, Holiday/Comedy,['8.50'], 2h 13m,https://resizing.flixster.com/a46LuVRnF690tYOTZDFHFU174no=/206x305/v2/https://resizing.flixster.com/Gfe3Lf75Qo5Pb0feNQ58BzwVBOA=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzQ4N2I3NGFjLWY3NDAtNDVlMS05ODFmLTNmYjA5ZmE3NTViNi5qcGc=
3,SALTBURN,R,2023, Comedy/Drama,['6.80'], 2h 11m,https://resizing.flixster.com/YKMd-daWopBrCZrwhQrAScTaVZk=/206x305/v2/https://resizing.flixster.com/5IYYj4UmhM5oQyJ0g5O1wZLovdc=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2ZkZTU4Y2Y1LTY4NjMtNGU3YS05NTQ4LTE3MjNhZDc5ZjFlZi5qcGc=
4,WONKA,R,2023, Kids & family/Musical,['7.30'], 1h 56m,https://resizing.flixster.com/ZJ5aqScAhzuxf3-3QdnKS3h0TC4=/206x305/v2/https://resizing.flixster.com/Bx2OFTZyXMQCB30_E6EmiA52wZo=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2ZiMzI0ODJhLTZmNzYtNDNkZC04MjdhLTBlODVhOTgzNzQ2Zi5qcGc=
5,THE KITCHEN,R,2023, Adventure/Drama,['6.60'], 1h 48m,https://resizing.flixster.com/ZF7_04hg4OEkfjgUXCvhU595Btk=/206x305/v2/https://resizing.flixster.com/STyaI0Ydxi-3W72GzXumkgTYhDE=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzM0ZjY0YTFiLTZkOTItNDc3Zi05MzgzLWZlNDJmODNjMjE3Ni5qcGc=
6,KILLERS OF THE FLOWER MOON,R,2023, Crime/Drama,['8.60'], 3h 26m,https://resizing.flixster.com/Nkywr3qkAo-G089ObPt_kqxPCkE=/206x305/v2/https://resizing.flixster.com/GGQKtXozu58SHWKH0Cz-5jQ9U38=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzZhOWE1N2ZkLTY4MzgtNDA3Yi05MDEwLWQzN2QwMTFkZDdmNS5qcGc=
7,AQUAMAN AND THE LOST KINGDOM,R,2023, Action/Adventure,['4.90'], 2h 4m,https://resizing.flixster.com/9aFEFln3zbDjVZal2qfvbHwBax8=/206x305/v2/https://resizing.flixster.com/ioQtD3b6hKJON0J4_7S-Wp0Ss5M=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzczNzQ3NjczLTE3MWMtNGJlYi1hODUwLTNkMmU5MGYxYjJiNy5qcGc=
8,SOCIETY OF THE SNOW,R,2023, Drama/Adventure,['7.80'], 2h 24m,https://resizing.flixster.com/8xnF1JkhauIxqdVh3edq0x_vL4I=/206x305/v2/https://resizing.flixster.com/Fu6AXk1vSqv9NdFS5ovTXuvI8F0=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzBiOGRjNjE2LTdjOWUtNDRiNC04OWMyLTNkNDVjMDJiODVjZS5qcGc=
9,FERRARI,R,2023, Drama,['6.60'], 2h 10m,https://resizing.flixster.com/QEL5ezTZV_fcdXgg7VwLF6xSEKc=/206x305/v2/https://resizing.flixster.com/i9CeWWf69GItCAWYaYws0z92NSs=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzFiM2FmYWMxLWIyMDEtNDQ3OC04YjU4LWYxNDg4N2MyOWI0YS5qcGc=
10,THE POSTCARD KILLINGS,R,2020, Mystery & thriller,['4.20'], 1h 44m,https://resizing.flixster.com/QFez41HhfzlrLEGwBYmSGE04qSo=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p18000634_p_v8_aa.jpg
